trial_id,condition,sir_db,sir_band,same_gender,target_live,interferer_live,sisdr_yt_st,sisdr_yt_si,sisdr_yi_st,sisdr_yi_si,sel_t,sel_i,rel_movement,level_yt_db,level_yi_db
sir0_val-42-000071,both,-2.35,-5..0,0.0,True,False,-5.505002021789551,nan,3.9863953590393066,nan,-9.491397857666016,nan,224.8389129638672,-30.60675048828125,-6.81237268447876
sir0_val-42-000072,target_only,nan,>= +5,nan,True,False,18.29912757873535,nan,17.448230743408203,nan,0.8508968353271484,nan,0.00792225357145071,-2.6331725120544434,-2.754601001739502
sir0_val-42-000073,both,-5.54,< -5,1.0,True,True,2.1829633712768555,-2.7514820098876953,-0.06259046494960785,-0.7227510809898376,2.245553731918335,2.028730869293213,0.039671581238508224,-3.6460421085357666,-3.9158403873443604
sir0_val-42-000074,interferer_only,nan,>= +5,1.0,False,True,nan,6.6012282371521,nan,17.77021026611328,nan,11.168981552124023,0.4615490436553955,-5.442874908447266,-2.2023849487304688
sir0_val-42-000075,interferer_only,nan,>= +5,1.0,False,True,nan,-0.2914040982723236,nan,5.066000938415527,nan,5.357405185699463,1.170011043548584,-7.694859504699707,-3.7424516677856445
sir0_val-42-000076,interferer_only,nan,>= +5,0.0,False,True,nan,2.7028255462646484,nan,14.611163139343262,nan,11.908337593078613,23.405933380126953,-17.77082633972168,-2.753417491912842
sir0_val-42-000077,both,-5.18,< -5,0.0,True,True,-6.016161918640137,-0.948874294757843,-10.678625106811523,9.972841262817383,4.662463188171387,10.92171573638916,12.99755859375,-15.006414413452148,-2.2921693325042725
sir0_val-42-000078,both,2.54,0..+5,0.0,True,False,10.385438919067383,nan,-9.422215461730957,nan,19.807655334472656,nan,0.9612185955047607,-3.8517603874206543,-28.133451461791992
sir0_val-42-000079,interferer_only,nan,>= +5,0.0,False,True,nan,-6.537203788757324,nan,13.48657512664795,nan,20.023778915405273,522.9742431640625,-29.973928451538086,-2.633640766143799
sir0_val-42-000080,both,0.58,0..+5,1.0,True,True,-7.637925624847412,5.214121341705322,-10.572290420532227,9.522490501403809,2.9343647956848145,4.308369159698486,0.247384712100029,-5.422796249389648,-2.7258501052856445
sir0_val-42-000081,target_only,nan,>= +5,nan,True,False,17.173192977905273,nan,13.367443084716797,nan,3.8057498931884766,nan,0.038231901824474335,-2.503735065460205,-3.708249092102051
sir0_val-42-000082,target_only,nan,>= +5,nan,True,False,16.37099838256836,nan,8.391854286193848,nan,7.979144096374512,nan,0.08344563096761703,-2.98300838470459,-3.5423123836517334
sir0_val-42-000083,target_only,nan,>= +5,nan,True,False,18.53204917907715,nan,18.975513458251953,nan,-0.4434642791748047,nan,0.00399723881855607,-2.8045578002929688,-2.772911787033081
sir0_val-42-000084,target_only,nan,>= +5,nan,True,False,17.26127052307129,nan,18.618986129760742,nan,-1.3577156066894531,nan,0.0065630595199763775,-3.1373682022094727,-2.80087947845459
sir0_val-42-000085,both,-6.82,< -5,1.0,True,False,15.23562240600586,nan,14.657184600830078,nan,0.5784378051757812,nan,0.0025781281292438507,-2.8983278274536133,-2.933277130126953
sir0_val-42-000086,both,-8.01,< -5,0.0,True,True,1.1843856573104858,-7.648054122924805,-6.229115009307861,0.13864950835704803,7.413500785827637,7.786703586578369,0.576921284198761,-6.696393966674805,-6.109476089477539
sir0_val-42-000087,interferer_only,nan,>= +5,0.0,False,True,nan,2.6595160961151123,nan,13.975619316101074,nan,11.316102981567383,0.7543061375617981,-6.495766639709473,-3.049046516418457
sir0_val-42-000088,target_only,nan,>= +5,nan,True,False,5.462125778198242,nan,9.693197250366211,nan,-4.231071472167969,nan,0.23696665465831757,-4.652109146118164,-3.4059979915618896
sir0_val-42-000089,both,-0.35,-5..0,0.0,True,True,5.171628475189209,-9.943134307861328,-8.622377395629883,3.754863977432251,13.79400634765625,13.697998046875,0.9278885126113892,-4.704360008239746,-4.701974868774414
sir0_val-42-000090,both,-5.76,< -5,0.0,True,True,-7.1850996017456055,0.3553171157836914,-9.576062202453613,4.904517650604248,2.390962600708008,4.549200534820557,1.4216384887695312,-9.043508529663086,-3.6550557613372803
sir0_val-42-000091,both,-3.03,-5..0,1.0,True,True,-12.506732940673828,10.549426078796387,-11.025944709777832,9.62407112121582,-1.480788230895996,-0.9253549575805664,0.010432004928588867,-2.864039421081543,-2.640145778656006
sir0_val-42-000092,both,7.14,>= +5,1.0,True,False,16.98722267150879,nan,3.03523588180542,nan,13.951986312866211,nan,0.45582398772239685,-2.842012643814087,-9.900103569030762
sir0_val-42-000093,target_only,nan,>= +5,nan,True,False,13.376977920532227,nan,10.02324104309082,nan,3.3537368774414062,nan,0.0717506855726242,-2.761650562286377,-4.214357376098633
sir0_val-42-000094,interferer_only,nan,>= +5,0.0,False,True,nan,-6.1545939445495605,nan,8.41519546508789,nan,14.56978988647461,253.3884735107422,-27.700986862182617,-3.4281415939331055
