system,trial,judge_wer,asr_wer,ref_words
wesep,sir0_val-42-000065,6.666666666666667,10.0,30
wesep,sir0_val-42-000067,10.344827586206897,22.413793103448278,58
wesep,sir0_val-42-000068,0.0,21.73913043478261,23
wesep,sir0_val-42-000070,2.380952380952381,7.142857142857143,42
wesep,sir0_val-42-000071,20.0,25.0,20
wesep,sir0_val-42-000073,23.25581395348837,41.86046511627907,43
wesep,sir0_val-42-000077,0.0,8.571428571428571,35
wesep,sir0_val-42-000078,0.0,10.256410256410257,39
wesep,sir0_val-42-000080,53.84615384615385,58.97435897435897,39
wesep,sir0_val-42-000085,34.21052631578947,23.68421052631579,38
wesep,sir0_val-42-000086,93.33333333333333,203.33333333333334,30
wesep,sir0_val-42-000089,1.8867924528301887,7.547169811320755,53
wesep,sir0_val-42-000090,0.0,20.0,35
wesep,sir0_val-42-000091,2.272727272727273,15.909090909090908,44
wesep,sir0_val-42-000092,2.7777777777777777,13.88888888888889,36
wesep,sir0_val-42-000097,25.0,39.285714285714285,28
wesep,sir0_val-42-000098,1.8181818181818181,20.0,55
wesep,sir0_val-42-000102,0.0,5.882352941176471,34
wesep,sir0_val-42-000105,14.545454545454545,20.0,55
wesep,sir0_val-42-000107,10.869565217391305,26.08695652173913,46
wesep,sir0_val-42-000109,7.142857142857143,35.714285714285715,28
wesep,sir0_val-42-000111,35.294117647058826,85.29411764705883,34
wesep,sir0_val-42-000112,2.7777777777777777,8.333333333333334,36
wesep,sir0_val-42-000113,4.651162790697675,4.651162790697675,43
wesep,sir0_val-42-000116,27.272727272727273,93.93939393939394,33
wesep,sir0_val-42-000119,0.0,1.6129032258064515,62
wesep,sir0_val-42-000123,6.451612903225806,9.67741935483871,31
wesep,sir0_val-42-000127,0.0,7.142857142857143,28
wesep,sir0_val-42-000128,83.87096774193549,29.032258064516128,31
wesep,sir0_val-42-000129,3.4482758620689653,6.896551724137931,29
wesep,sir0_val-42-000130,73.33333333333333,100.0,15
wesep,sir0_val-42-000133,108.69565217391305,73.91304347826087,23
wesep,sir0_val-42-000134,48.275862068965516,36.206896551724135,58
wesep,sir0_val-42-000135,62.96296296296296,51.851851851851855,27
wesep,sir0_val-42-000137,6.382978723404255,17.02127659574468,47
wesep,sir0_val-42-000138,56.75675675675676,97.29729729729729,37
wesep,sir0_val-42-000139,72.22222222222223,44.44444444444444,18
wesep,sir0_val-42-000140,69.56521739130434,8.695652173913043,23
wesep,sir0_val-42-000142,0.0,31.03448275862069,29
wesep,sir0_val-42-000144,37.2093023255814,46.51162790697674,43
wesep,sir0_val-42-000145,25.714285714285715,22.857142857142858,35
wesep,sir0_val-42-000146,50.0,54.76190476190476,42
wesep,sir0_val-42-000148,0.0,10.869565217391305,46
wesep,sir0_val-42-000150,31.25,97.91666666666667,48
wesep,sir0_val-42-000151,24.074074074074073,24.074074074074073,54
wesep,sir0_val-42-000152,0.0,4.545454545454546,22
wesep,sir0_val-42-000153,93.75,90.625,32
wesep,sir0_val-42-000157,19.51219512195122,17.073170731707318,41
wesep,sir0_val-42-000158,73.91304347826087,78.26086956521739,23
wesep,sir0_val-42-000162,112.5,79.16666666666667,24
wesep,sir0_val-42-000163,4.0,16.0,25
wesep,sir0_val-42-000164,56.25,56.25,16
wesep,sir0_val-42-000166,15.789473684210526,31.57894736842105,38
wesep,sir0_val-42-000169,16.129032258064516,25.806451612903224,31
wesep,sir0_val-42-000172,0.0,4.651162790697675,43
wesep,sir0_val-42-000176,138.0952380952381,80.95238095238095,21
wesep,sir0_val-42-000178,0.0,0.0,23
wesep,sir0_val-42-000179,60.60606060606061,54.54545454545455,33
wesep,sir0_val-42-000180,51.724137931034484,96.55172413793103,29
wesep,sir0_val-42-000182,33.333333333333336,33.333333333333336,54
wesep,sir0_val-42-000185,10.526315789473685,13.157894736842104,38
wesep,sir0_val-42-000187,28.571428571428573,28.571428571428573,28
wesep,sir0_val-42-000188,0.0,0.0,17
wesep,sir0_val-42-000189,176.92307692307693,0.0,13
wesep,sir0_val-42-000190,35.13513513513514,43.24324324324324,37
wesep,sir0_val-42-000192,8.0,44.0,25
wesep,sir0_val-42-000194,21.73913043478261,39.130434782608695,23
wesep,sir0_val-42-000195,0.0,8.333333333333334,24
wesep,sir0_val-42-000198,2.5,7.5,40
baseline-10000-e6,sir0_val-42-000002,128.57142857142858,145.71428571428572,35
baseline-10000-e6,sir0_val-42-000004,68.0,52.0,50
baseline-10000-e6,sir0_val-42-000005,82.92682926829268,70.73170731707317,41
baseline-10000-e6,sir0_val-42-000008,56.09756097560975,100.0,41
baseline-10000-e6,sir0_val-42-000010,90.625,65.625,32
baseline-10000-e6,sir0_val-42-000011,61.904761904761905,90.47619047619048,21
baseline-10000-e6,sir0_val-42-000012,254.54545454545453,300.0,11
baseline-10000-e6,sir0_val-42-000014,3.225806451612903,6.451612903225806,31
baseline-10000-e6,sir0_val-42-000015,148.0,108.0,25
baseline-10000-e6,sir0_val-42-000019,29.545454545454547,27.272727272727273,44
baseline-10000-e6,sir0_val-42-000021,33.333333333333336,3.3333333333333335,30
baseline-10000-e6,sir0_val-42-000023,64.28571428571429,64.28571428571429,14
baseline-10000-e6,sir0_val-42-000024,117.24137931034483,20.689655172413794,29
baseline-10000-e6,sir0_val-42-000027,165.0,220.0,20
baseline-10000-e6,sir0_val-42-000028,3.7037037037037037,25.925925925925927,27
baseline-10000-e6,sir0_val-42-000029,48.717948717948715,46.15384615384615,39
baseline-10000-e6,sir0_val-42-000031,73.91304347826087,76.08695652173913,46
